UKBPPP_ProteinID	olink_target_fullname	OlinkID	UniProt	Assay	Panel	Panel_Lot_Nr	UniProt2	HGNC.symbol	Docname	Code	ensembl_id	chr	gene_start	gene_end	Strand	Dilution_factor	block
AMIGO2:Q86SJ2:OID21370:v1	Amphoterin-induced protein 2	OID21370	Q86SJ2	AMIGO2	Oncology	B04412	Q86SJ2	AMIGO2	AMIGO2_Q86SJ2_OID21370_v1_Oncology.tar	syn51469111	ENSG00000139211	12	47075707	47079959	-1	01:01	B
AMN:Q9BXJ7:OID20492:v1	Protein amnionless [Cleaved into: Soluble protein amnionless]	OID20492	Q9BXJ7	AMN	Inflammation	B04411	Q9BXJ7	AMN	AMN_Q9BXJ7_OID20492_v1_Inflammation.tar	syn51468810	ENSG00000166126	14	102922663	102933596	1	01:01	A
AMY2A:P04746:OID20333:v1	Pancreatic alpha-amylase	OID20333	P04746	AMY2A	Cardiometabolic	B04413	P04746	AMY2A	AMY2A_P04746_OID20333_v1_Cardiometabolic.tar	syn51469158	ENSG00000243480	1	103617427	103625780	1	0.111111111	C
AMY2B:P19961:OID20340:v1	Alpha-amylase 2B	OID20340	P19961	AMY2B	Cardiometabolic	B04413	P19961	AMY2B	AMY2B_P19961_OID20340_v1_Cardiometabolic.tar	syn51471025	ENSG00000240038	1	103553815	103579534	1	0.111111111	C
ANG:P03950:OID20403:v1	Angiogenin	OID20403	P03950	ANG	Cardiometabolic	B04413	P03950	ANG	ANG_P03950_OID20403_v1_Cardiometabolic.tar	syn51469012	ENSG00000214274	14	20684177	20698971	1	0.736111111	D
ANGPT1:Q15389:OID20740:v1	Angiopoietin-1	OID20740	Q15389	ANGPT1	Inflammation	B04411	Q15389	ANGPT1	ANGPT1_Q15389_OID20740_v1_Inflammation.tar	syn51471320	ENSG00000154188	8	107249482	107498055	-1	01:10	D
ANGPT2:O15123:OID21463:v1	Angiopoietin-2	OID21463	O15123	ANGPT2	Oncology	B04412	O15123	ANGPT2	ANGPT2_O15123_OID21463_v1_Oncology.tar	syn51468418	ENSG00000091879	8	6499632	6563409	-1	01:01	C
ANGPTL1:O95841:OID20211:v1	Angiopoietin-related protein 1	OID20211	O95841	ANGPTL1	Cardiometabolic	B04413	O95841	ANGPTL1	ANGPTL1_O95841_OID20211_v1_Cardiometabolic.tar	syn51470490	ENSG00000116194	1	178849535	178871077	-1	01:10	B
ANGPTL2:Q9UKU9:OID20726:v1	Angiopoietin-related protein 2	OID20726	Q9UKU9	ANGPTL2	Inflammation	B04411	Q9UKU9	ANGPTL2	ANGPTL2_Q9UKU9_OID20726_v1_Inflammation.tar	syn51469585	ENSG00000136859	9	127087348	127122635	-1	01:10	D
ANGPTL3:Q9Y5C1:OID20407:v1	Angiopoietin-related protein 3	OID20407	Q9Y5C1	ANGPTL3	Cardiometabolic	B04413	Q9Y5C1	ANGPTL3	ANGPTL3_Q9Y5C1_OID20407_v1_Cardiometabolic.tar	syn51468817	ENSG00000132855	1	62597520	62606313	1	0.736111111	D
ANGPTL4:Q9BY76:OID20703:v1	Angiopoietin-related protein 4	OID20703	Q9BY76	ANGPTL4	Inflammation	B04411	Q9BY76	ANGPTL4	ANGPTL4_Q9BY76_OID20703_v1_Inflammation.tar	syn51468799	ENSG00000167772	19	8363289	8374370	1	01:10	D
ANGPTL7:O43827:OID21412:v1	Angiopoietin-related protein 7	OID21412	O43827	ANGPTL7	Oncology	B04412	O43827	ANGPTL7	ANGPTL7_O43827_OID21412_v1_Oncology.tar	syn51470124	ENSG00000171819	1	11189355	11195981	1	01:01	C
ANKRD54:Q6NXT1:OID21162:v1	Ankyrin repeat domain-containing protein 54	OID21162	Q6NXT1	ANKRD54	Oncology	B04412	Q6NXT1	ANKRD54	ANKRD54_Q6NXT1_OID21162_v1_Oncology.tar	syn51468845	ENSG00000100124	22	37830855	37849327	-1	01:01	A
ANPEP:P15144:OID20350:v1	Aminopeptidase N	OID20350	P15144	ANPEP	Cardiometabolic	B04413	P15144	ANPEP	ANPEP_P15144_OID20350_v1_Cardiometabolic.tar	syn51470939	ENSG00000166825	15	89784895	89815401	-1	0.736111111	D
ANXA10:Q9UJ72:OID20886:v1	Annexin A10	OID20886	Q9UJ72	ANXA10	Neurology	B04414	Q9UJ72	ANXA10	ANXA10_Q9UJ72_OID20886_v1_Neurology.tar	syn51471452	ENSG00000109511	4	168092537	168187736	1	01:01	A
ANXA11:P50995:OID20583:v1	Annexin A11	OID20583	P50995	ANXA11	Inflammation	B04411	P50995	ANXA11	ANXA11_P50995_OID20583_v1_Inflammation.tar	syn51471227	ENSG00000122359	10	80150889	80205572	-1	01:01	B
ANXA3:P12429:OID21036:v1	Annexin A3	OID21036	P12429	ANXA3	Neurology	B04414	P12429	ANXA3	ANXA3_P12429_OID21036_v1_Neurology.tar	syn51469713	ENSG00000138772	4	78551747	78610451	1	01:10	C
ANXA4:P09525:OID20123:v1	Annexin A4	OID20123	P09525	ANXA4	Cardiometabolic	B04413	P09525	ANXA4	ANXA4_P09525_OID20123_v1_Cardiometabolic.tar	syn51470805	ENSG00000196975	2	69644425	69827112	1	01:10	B
ANXA5:P08758:OID20810:v1	Annexin A5	OID20810	P08758	ANXA5	Neurology	B04414	P08758	ANXA5	ANXA5_P08758_OID20810_v1_Neurology.tar	syn51470480	ENSG00000164111	4	121667946	121696995	-1	01:01	A
AOC1:P19801:OID20452:v1	Amiloride-sensitive amine oxidase [copper-containing]	OID20452	P19801	AOC1	Inflammation	B04411	P19801	AOC1	AOC1_P19801_OID20452_v1_Inflammation.tar	syn51470391	ENSG00000002726	7	150824627	150861504	1	01:01	A
AOC3:Q16853:OID20389:v1	Membrane primary amine oxidase	OID20389	Q16853	AOC3	Cardiometabolic	B04413	Q16853	AOC3	AOC3_Q16853_OID20389_v1_Cardiometabolic.tar	syn51470284	ENSG00000131471	17	42851184	42858130	1	0.736111111	D
APBB1IP:Q7Z5R6:OID21359:v1	Amyloid beta A4 precursor protein-binding family B member 1-interacting protein	OID21359	Q7Z5R6	APBB1IP	Oncology	B04412	Q7Z5R6	APBB1IP	APBB1IP_Q7Z5R6_OID21359_v1_Oncology.tar	syn51470275	ENSG00000077420	10	26438341	26567803	1	01:01	B
APEX1:P27695:OID21434:v1	APEX nuclease	OID21434	P27695	APEX1	Oncology	B04412	P27695	APEX1	APEX1_P27695_OID21434_v1_Oncology.tar	syn51468408	ENSG00000100823	14	20455191	20457772	1	01:01	C
APLP1:P51693:OID20164:v1	Amyloid-like protein 1	OID20164	P51693	APLP1	Cardiometabolic	B04413	P51693	APLP1	APLP1_P51693_OID20164_v1_Cardiometabolic.tar	syn51468816	ENSG00000105290	19	35867899	35879792	1	01:10	B
APOH:P02749:OID21072:v1	Beta-2-glycoprotein 1	OID21072	P02749	APOH	Neurology	B04414	P02749	APOH	APOH_P02749_OID21072_v1_Neurology.tar	syn51471179	ENSG00000091583	17	66212033	66256525	-1	0.111111111	D
APOM:O95445:OID20374:v1	Apolipoprotein M	OID20374	O95445	APOM	Cardiometabolic	B04413	O95445	APOM	APOM_O95445_OID20374_v1_Cardiometabolic.tar	syn51471413	ENSG00000204444	6	31652416	31658210	1	0.736111111	D
APP:P05067:OID21070:v1	Amyloid-beta precursor protein	OID21070	P05067	APP	Neurology	B04414	P05067	APP	APP_P05067_OID21070_v1_Neurology.tar	syn51470248	ENSG00000142192	21	25880550	26171128	-1	0.111111111	D
APRT:P07741:OID20927:v1	Adenine phosphoribosyltransferase	OID20927	P07741	APRT	Neurology	B04414	P07741	APRT	APRT_P07741_OID20927_v1_Neurology.tar	syn51471236	ENSG00000198931	16	88809339	88811937	-1	01:01	B
AREG:P15514:OID21357:v1	Amphiregulin	OID21357	P15514	AREG	Oncology	B04412	P15514	AREG	AREG_P15514_OID21357_v1_Oncology.tar	syn51469051	ENSG00000109321	4	74445136	74455005	1	01:01	B
ARG1:P05089:OID21445:v1	Arginase-1	OID21445	P05089	ARG1	Oncology	B04412	P05089	ARG1	ARG1_P05089_OID21445_v1_Oncology.tar	syn51471288	ENSG00000118520	6	131470832	131584332	1	01:01	C
ARHGAP1:Q07960:OID21202:v1	Rho GTPase-activating protein 1	OID21202	Q07960	ARHGAP1	Oncology	B04412	Q07960	ARHGAP1	ARHGAP1_Q07960_OID21202_v1_Oncology.tar	syn51470491	ENSG00000175220	11	46677080	46700619	-1	01:01	A
ARHGAP25:P42331:OID21255:v1	Rho GTPase-activating protein 25	OID21255	P42331	ARHGAP25	Oncology	B04412	P42331	ARHGAP25	ARHGAP25_P42331_OID21255_v1_Oncology.tar	syn51470917	ENSG00000163219	2	68679601	68826833	1	01:01	A
ARHGEF12:Q9NZN5:OID20554:v1	Rho guanine nucleotide exchange factor 12	OID20554	Q9NZN5	ARHGEF12	Inflammation	B04411	Q9NZN5	ARHGEF12	ARHGEF12_Q9NZN5_OID20554_v1_Inflammation.tar	syn51470728	ENSG00000196914	11	120336413	120489937	1	01:01	B
ARID4B:Q4LE39:OID20803:v1	AT-rich interactive domain-containing protein 4B	OID20803	Q4LE39	ARID4B	Neurology	B04414	Q4LE39	ARID4B	ARID4B_Q4LE39_OID20803_v1_Neurology.tar	syn51470780	ENSG00000054267	1	235131634	235328219	-1	01:01	A
ARNT:P27540:OID20432:v1	Aryl hydrocarbon receptor nuclear translocator	OID20432	P27540	ARNT	Inflammation	B04411	P27540	ARNT	ARNT_P27540_OID20432_v1_Inflammation.tar	syn51469848	ENSG00000143437	1	150809713	150876708	-1	01:01	A
ARSA:P15289:OID21138:v1	Arylsulfatase A	OID21138	P15289	ARSA	Neurology	B04414	P15289	ARSA	ARSA_P15289_OID21138_v1_Neurology.tar	syn51469598	ENSG00000100299	22	50622754	50628173	-1	0.111111111	D
ARSB:P15848:OID21331:v1	Arylsulfatase B	OID21331	P15848	ARSB	Oncology	B04412	P15848	ARSB	ARSB_P15848_OID21331_v1_Oncology.tar	syn51469841	ENSG00000113273	5	78777209	78986087	-1	01:01	B
ART3:Q13508:OID20346:v1	Ecto-ADP-ribosyltransferase 3	OID20346	Q13508	ART3	Cardiometabolic	B04413	Q13508	ART3	ART3_Q13508_OID20346_v1_Cardiometabolic.tar	syn51471285	ENSG00000156219	4	76011184	76112802	1	0.736111111	D
ARTN:Q5T4W7:OID20446:v1	Artemin	OID20446	Q5T4W7	ARTN	Inflammation	B04411	Q5T4W7	ARTN	ARTN_Q5T4W7_OID20446_v1_Inflammation.tar	syn51469409	ENSG00000117407	1	43933320	43937240	1	01:01	A
ASAH2:Q9NR71:OID20996:v1	Neutral ceramidase	OID20996	Q9NR71	ASAH2	Neurology	B04414	Q9NR71	ASAH2	ASAH2_Q9NR71_OID20996_v1_Neurology.tar	syn51469010	ENSG00000188611	10	50182778	50279720	-1	01:01	B
ASGR1:P07306:OID20990:v1	Asialoglycoprotein receptor 1	OID20990	P07306	ASGR1	Neurology	B04414	P07306	ASGR1	ASGR1_P07306_OID20990_v1_Neurology.tar	syn51469594	ENSG00000141505	17	7173431	7179564	-1	01:01	B
ATF2:P15336:OID20798:v1	Cyclic AMP-dependent transcription factor ATF-2	OID20798	P15336	ATF2	Neurology	B04414	P15336	ATF2	ATF2_P15336_OID20798_v1_Neurology.tar	syn51468746	ENSG00000115966	2	175072250	175168382	-1	01:01	A
ATG4A:Q8WYN0:OID21246:v1	Cysteine protease ATG4A	OID21246	Q8WYN0	ATG4A	Oncology	B04412	Q8WYN0	ATG4A	ATG4A_Q8WYN0_OID21246_v1_Oncology.tar	syn51469849	ENSG00000101844	X	108091668	108154671	1	01:01	A
ATOX1:O00244:OID21476:v1	Copper transport protein ATOX1	OID21476	O00244	ATOX1	Oncology	B04412	O00244	ATOX1	ATOX1_O00244_OID21476_v1_Oncology.tar	syn51471192	ENSG00000177556	5	151742316	151772532	-1	01:10	D
ATP5IF1:Q9UII2:OID20760:v1	"ATPase inhibitor, mitochondrial "	OID20760	Q9UII2	ATP5IF1	Inflammation	B04411	Q9UII2	ATP5IF1	ATP5IF1_Q9UII2_OID20760_v1_Inflammation.tar	syn51470140	ENSG00000130770	1	28236109	28246906	1	01:10	D
ATP5PO:P48047:OID20811:v1	"ATP synthase subunit O, mitochondrial "	OID20811	P48047	ATP5PO	Neurology	B04414	P48047	ATP5PO	ATP5PO_P48047_OID20811_v1_Neurology.tar	syn51468673	ENSG00000241837	21	33903453	33915814	-1	01:01	A
ATP6AP2:O75787:OID21178:v1	Renin receptor	OID21178	O75787	ATP6AP2	Oncology	B04412	O75787	ATP6AP2	ATP6AP2_O75787_OID21178_v1_Oncology.tar	syn51471339	ENSG00000182220	X	40579372	40606848	1	01:01	A
